"Season","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"1950","23940","88488","2029","11402","10713","638","10.7%","9.0%",".144",".284",".274",".356",".418",".357","","100","0.1","-2.4","30.6","294.8"
"1951","24423","88220","1822","10678","10003","857","10.0%","8.8%",".131",".278",".267",".345",".399",".346","","100","-2.9","-19.8","28.3","294.1"
"1952","24212","87110","1669","9888","9199","764","9.7%","9.9%",".124",".276",".261",".337",".384",".338","","100","-2.0","-39.1","21.5","295.0"
"1953","24619","87721","2029","10856","10215","658","9.5%","9.7%",".140",".284",".272",".346",".412",".346","","100","-4.9","-24.1","91.3","295.0"
"1954","24706","87979","1897","10319","9724","685","9.8%","9.6%",".136",".280",".270",".343",".406",".344","","100","-3.3","22.0","98.8","294.5"
"1955","24957","87529","2171","10529","9909","687","9.9%","10.3%",".143",".275",".266",".341",".409",".337","","100","-3.9","8.8","126.5","295.2"
"1956","25358","87838","2243","10516","9875","712","9.8%","11.0%",".147",".277",".266",".340",".412",".335","","100","-0.1","10.0","173.0","295.9"
"1957","25360","87938","2141","10155","9582","764","8.9%","11.4%",".141",".279",".266",".334",".406",".329","","100","-2.1","-4.9","174.6","293.4"
"1958","25642","86933","2197","10101","9554","734","8.9%","11.7%",".144",".280",".266",".334",".409",".330","","100","0.0","-7.1","99.0","293.6"
"1959","25684","87432","2204","10403","9743","845","9.0%","11.9%",".143",".280",".265",".334",".408",".329","","100","-1.2","2.2","95.0","294.8"
"1960","25989","87593","2096","10196","9620","915","9.1%","12.3%",".140",".280",".263",".333",".403",".329","","100","0.3","-7.9","142.0","294.0"
"1961","29158","101191","2668","12387","11552","1037","9.4%","12.3%",".148",".282",".267",".338",".415",".334","","99","-2.1","-80.3","200.1","340.8"
"1962","33195","115201","2942","13884","13056","1341","9.1%","12.7%",".143",".284",".266",".336",".410",".332","","100","0.3","54.8","103.0","386.2"
"1963","32586","113167","2656","12263","11454","1227","8.1%","13.9%",".132",".277",".255",".319",".387",".314","","100","1.8","18.0","89.0","385.0"
"1964","32868","113829","2718","12635","11787","1169","8.1%","14.1%",".135",".283",".259",".323",".394",".318","","100","0.0","8.1","84.0","386.6"
"1965","33618","113781","2635","12484","11562","1440","8.5%","14.2%",".133",".278",".254",".321",".387",".315","","100","1.8","-20.0","76.0","385.8"
"1966","33118","112758","2695","12357","11549","1440","8.0%","14.0%",".134",".279",".256",".319",".391",".313","","100","-2.8","-13.0","107.0","383.3"
"1967","33302","112951","2264","11758","10825","1361","8.3%","14.5%",".121",".277",".251",".316",".372",".309","","100","-3.2","-8.1","35.0","385.3"
"1968","32747","111792","1948","10664","9883","1509","7.9%","14.3%",".109",".272",".245",".309",".354",".302","","100","1.6","-0.2","-12.0","387.2"
"1969","39977","137235","3048","15230","14111","1835","9.4%","13.6%",".127",".280",".257",".330",".384",".324","","100","-1.9","-15.6","6.0","462.9"
"1970","40123","138290","3359","16210","15159","1897","9.6%","13.5%",".138",".284",".262",".336",".401",".330","","100","-0.7","8.6","-27.1","464.0"
"1971","39179","135769","2802","14465","13503","1751","8.9%","12.9%",".122",".279",".257",".326",".379",".320","","100","-2.9","-12.8","-59.0","461.0"
"1972","37781","129494","2487","13138","12283","1799","8.7%","13.3%",".116",".275",".252",".320",".368",".313","","100","0.5","-15.6","-41.0","441.9"
"1973","40833","143329","3075","16080","14981","2025","9.0%","13.0%",".125",".283",".261",".330",".386",".324","","100","-0.5","-14.5","-290.0","457.6"
"1974","41769","143438","2631","15726","14568","2486","8.9%","12.5%",".115",".283",".260",".328",".375",".322","","100","3.5","-8.5","-260.9","458.4"
"1975","41354","143208","2688","15987","14870","2525","9.2%","12.4%",".120",".284",".262",".332",".381",".326","","100","-0.4","-12.0","-299.1","455.2"
"1976","40986","142365","2223","15221","14098","3048","8.5%","12.1%",".108",".283",".259",".325",".367",".319","","100","1.5","-13.7","-287.4","456.9"
"1977","45109","156382","3613","18544","17306","3011","8.7%","12.9%",".140",".289",".268",".333",".407",".328","","100","-2.0","-10.0","-326.8","494.6"
"1978","44903","154007","2940","16989","15825","2998","8.7%","12.1%",".123",".282",".262",".328",".385",".322","","100","-0.4","-21.4","-346.9","493.5"
"1979","44527","155209","3415","18446","17282","2977","8.7%","11.9%",".135",".288",".269",".334",".404",".329","","100","2.3","-9.4","-356.1","491.4"
"1980","45490","156088","3070","17799","16658","3287","8.3%","12.0%",".126",".288",".268",".330",".394",".324","","100","1.5","-8.7","-329.5","493.1"
"1981","30261","102647","1772","10994","10275","2019","8.5%","12.0%",".115",".280",".259",".324",".374",".318","","100","1.4","5.1","-210.7","327.3"
"1982","45029","155958","3359","17856","16761","3170","8.4%","12.6%",".130",".285",".265",".328",".395",".323","","100","1.9","-11.8","-309.1","494.1"
"1983","45381","155482","3284","17918","16822","3316","8.6%","13.0%",".131",".287",".265",".329",".396",".324","","100","3.4","-15.7","-304.9","494.6"
"1984","45917","155527","3240","17665","16542","3022","8.5%","13.5%",".128",".287",".263",".327",".391",".322","","100","0.6","-11.6","-306.0","492.5"
"1985","45522","155356","3582","17983","16897","3086","8.8%","13.5%",".137",".283",".261",".327",".398",".322","","100","3.5","-7.9","-327.7","491.9"
"1986","45194","155896","3789","18283","17129","3298","9.0%","14.8%",".140",".288",".261",".330",".402",".325","","100","1.0","-11.6","-327.4","493.0"
"1987","45090","156996","4438","19620","18468","3575","9.1%","15.0%",".156",".291",".267",".336",".423",".331","","100","1.6","-15.3","-351.1","494.2"
"1988","44460","154442","3167","17139","15998","3293","8.3%","14.1%",".126",".284",".258",".322",".384",".317","","100","3.3","-9.1","-320.8","492.4"
"1989","44966","155124","3065","17167","16011","3105","8.6%","14.3%",".124",".285",".258",".324",".381",".318","","100","1.3","-13.9","-335.6","494.1"
"1990","45456","155521","3302","17677","16581","3284","8.8%","14.4%",".130",".289",".261",".329",".392",".323","","100","0.6","-31.5","-372.2","494.1"
"1991","45842","156076","3371","17893","16834","3114","8.8%","14.8%",".132",".287",".259",".327",".391",".322","","100","1.3","39.0","-331.8","492.7"
"1992","45045","155803","3026","17098","16080","3262","8.7%","14.2%",".124",".287",".259",".327",".383",".321","","100","2.6","42.6","-326.3","493.7"
"1993","47965","168999","4013","20600","19338","3257","8.8%","14.6%",".142",".296",".269",".337",".410",".331","","100","0.6","-16.8","-327.0","531.8"
"1994","33405","120536","3299","15559","14678","2256","9.1%","15.4%",".158",".301",".273",".343",".432",".338","","100","1.3","-8.9","-205.7","375.0"
"1995","43081","151836","4061","19292","18169","2925","9.3%","15.7%",".154",".300",".270",".342",".424",".338","","100","0.8","-64.0","-263.1","472.6"
"1996","48392","171776","4940","22540","21293","3235","9.3%","16.0%",".160",".303",".274",".345",".434",".340","","100","1.3","-25.9","-291.6","531.0"
"1997","48185","170082","4623","21338","20212","3299","9.1%","16.5%",".156",".303",".271",".342",".427",".337","","100","0.6","-6.0","-266.2","532.9"
"1998","51296","181870","5044","22956","21795","3277","8.9%","16.4%",".158",".302",".270",".340",".428",".336","","100","0.5","-34.4","-120.9","572.0"
"1999","51280","183358","5500","24321","23112","3415","9.6%","15.9%",".167",".303",".275",".349",".442",".346","","100","0.0","-1.3","-159.3","573.1"
"2000","51527","183882","5660","24640","23420","2921","9.8%","15.9%",".171",".302",".275",".350",".445",".346","","100","1.7","-47.1","-187.6","572.6"
"2001","50820","180869","5431","22865","21822","3098","8.6%","16.8%",".167",".298",".268",".337",".435",".332","","100","0.9","-43.1","-191.1","573.0"
"2002","50673","180559","5032","22103","21030","2747","8.9%","16.3%",".159",".294",".265",".336",".424",".331","","100","-0.9","-38.9","-261.1","570.8"
"2003","50625","181293","5173","22659","21606","2570","8.7%","15.9%",".162",".296",".268",".337",".430",".333","","100","2.0","-29.9","-251.8","572.3"
"2004","50499","182392","5425","23083","21956","2582","8.8%","16.3%",".166",".299",".270",".340",".436",".335","","100","1.4","-33.5","-287.0","571.1"
"2005","50343","180167","4996","22036","20966","2559","8.3%","16.0%",".158",".297",".268",".335",".427",".331","","100","1.4","9.1","-273.7","572.3"
"2006","50567","182023","5354","23293","22188","2762","8.6%","16.3%",".166",".304",".274",".342",".440",".337","","100","0.6","4.8","-282.2","571.5"
"2007","50765","182671","4930","22997","21984","2910","8.7%","16.6%",".158",".305",".272",".340",".430",".336","","100","3.6","15.1","-305.8","573.6"
"2008","50433","181655","4859","22301","21265","2793","8.9%","17.0%",".156",".302",".268",".338",".424",".333","","100","2.6","-16.2","-296.5","571.9"
"2009","49857","181051","5015","22123","21091","2967","9.1%","17.5%",".159",".301",".266",".338",".425",".334","","100","4.6","-15.0","-272.9","571.4"
"2010","50057","179495","4597","21022","20023","2956","8.7%","18.0%",".149",".299",".261",".330",".410",".326","","100","1.2","-32.6","-293.8","573.2"
"2011","49890","179285","4524","20536","19515","3276","8.3%","18.1%",".147",".297",".259",".325",".406",".321","","100","4.9","-15.4","-273.1","570.9"
"2012","50057","178266","4910","20743","19747","3226","8.1%","19.2%",".154",".299",".259",".324",".413",".320","","100","5.3","10.1","-253.9","572.3"
"2013","50020","179360","4640","20018","19031","2685","8.1%","19.3%",".146",".299",".257",".322",".403",".318","","100","0.9","-30.2","-279.6","571.1"
"2014","50194","178409","4171","19520","18557","2762","7.8%","19.9%",".138",".301",".255",".318",".393",".315","","100","2.8","-15.2","-279.8","571.7"
"2015","50526","178221","4884","20409","19440","2503","7.8%","19.9%",".153",".301",".258",".321",".412",".318","","100","1.0","-10.9","-274.5","571.4"
"2016","50241","179217","5586","21493","20475","2534","8.3%","20.6%",".166",".302",".259",".326",".425",".323","","100","1.2","-2.8","-285.8","572.3"
"2017","50161","180018","6078","22327","21287","2523","8.7%","21.2%",".175",".301",".259",".329",".433",".326","","100","0.7","-28.1","-262.5","572.4"
"2018","50385","180004","5562","21414","20389","2467","8.6%","21.7%",".165",".297",".252",".323",".417",".320","","100","1.0","10.5","-270.0","571.6"
"2019","50190","181343","6752","23219","22236","2271","8.7%","22.4%",".187",".299",".256",".327",".443",".325","","100","-0.2","-12.3","-273.0","571.9"
"2020","18786","66502","2304","8340","7978","885","9.2%","23.4%",".173",".292",".245",".322",".418",".320","","100","0.3","11.5","-212.2","210.6"
"2021","50100","177029","5930","21807","20827","2209","8.8%","22.6%",".171",".293",".247",".321",".418",".319","","100","1.0","41.7","-254.6","572.7"
